assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,query_label,query_standard_type,units_hint,dataset
A,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(-c4ccccn4)c3)o2)c1.CS(=O)(=O)O,CHEMBL193849,Vdss,L.kg-1,3.743,Vdss,ml kg-1,3743.000000000001,volume_distribution,VDss,(L/kg|L),ChEMBL
A,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,CHEMBL186179,Vdss,L.kg-1,0.6,Vss,l kg-1,0.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,CHEMBL196896,Vdss,L.kg-1,3.4,Vss,ml kg-1,3400.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,CHEMBL194068,Vdss,L.kg-1,1.3,Vss,ml kg-1,1300.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1nccn1-c1sc(Nc2cnccn2)nc1-c1cccc(C#N)c1,CHEMBL2113096,Vdss,L.kg-1,3.02,Vss,l kg-1,3.02,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,CHEMBL193544,Vdss,L.kg-1,2.6,Vdss,l kg-1,2.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,CHEMBL193544,Vdss,L.kg-1,2.6,Vdss,l kg-1,2.6,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,CHEMBL401930,Vdss,L.kg-1,1.9,Vss,l kg-1,1.9,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,CHEMBL401930,Vdss,L.kg-1,0.8,Vss,l kg-1,0.8,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,CHEMBL401930,Vdss,L.kg-1,1.3,Vss,l kg-1,1.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,CHEMBL401930,Vdss,L.kg-1,1.4,Vss,l kg-1,1.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(NC[C@H]1CN(c2ccc(N3CCCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CHEMBL197377,Vdss,L.kg-1,0.21,Vss,l kg-1,0.21,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CHEMBL198362,Vdss,L.kg-1,0.3,Vss,l kg-1,0.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CHEMBL198362,Vdss,L.kg-1,0.4,Vss,l kg-1,0.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)c(F)c2)C(=O)O1)c1ccc(Cl)s1,CHEMBL364284,Vdss,L.kg-1,0.32,Vss,l kg-1,0.32,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#Cc1cccc(-c2cnnc(-c3ccccc3)c2)c1,CHEMBL198509,Vdss,L.kg-1,1.5,Vdss,l kg-1,1.5,volume_distribution,VDss,(L/kg|L),ChEMBL
