compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
Escitalopram,10.0,16.170000076293945,5.389999866485596,21.559999465942383,9.428571701049805,1.0,20.0,2.0,2.0,1.0,2.0,,,2.1932754516601562,,
Venlafaxine,75.0,50.93550109863281,16.978500366210938,67.91400146484375,9.428571701049805,1.0,20.0,15.0,15.0,1.0,15.0,,,2.9771792888641357,,
Duloxetine,60.0,71.03250122070312,23.677499771118164,94.70999908447266,9.428571701049805,1.0,20.0,12.0,12.0,1.0,12.0,,,2.896595001220703,,
Desvenlafaxine,50.0,19.844999313354492,6.614999771118164,26.459999084472656,9.428571701049805,1.0,20.0,10.0,10.0,1.0,10.0,,,2.5959863662719727,,
Amitriptyline,50.0,29.106000900268555,9.70199966430664,38.80799865722656,9.428571701049805,1.0,20.0,10.0,10.0,1.0,10.0,,,2.6312389373779297,,
Nortriptyline,25.0,24.131250381469727,8.043749809265137,32.17499923706055,9.428571701049805,1.0,20.0,5.0,5.0,1.0,5.0,,,2.36480450630188,,
Mirtazapine,30.0,24.904687881469727,8.301562309265137,33.20624923706055,9.428571701049805,1.0,20.0,6.0,6.0,1.0,6.0,,,2.416646957397461,,
Alprazolam,1.0,6.06374979019165,2.021250009536743,8.085000038146973,3.276250123977661,1.0,6.849999904632568,0.2,0.20000000298023224,1.0,1.1980690956115723,,,2.192847490310669,,
Lorazepam,2.0,3.6382501125335693,1.21274995803833,4.85099983215332,2.293750047683716,0.7124999761581421,4.75,0.4,0.4000000059604645,1.0,1.1812379360198975,,,2.1812777519226074,,
Zolpidem,10.0,13.993268966674805,4.664422988891602,18.657691955566406,1.6387498378753662,0.5024999976158142,3.3499999046325684,2.0,2.0,1.0,2.0,,,2.258732557296753,,
Risperidone,2.0,18.19124984741211,6.06374979019165,24.2549991607666,2.4574999809265137,0.7649999856948853,5.099999904632568,0.4,0.4000000059604645,1.0,1.1083669662475586,,,2.178312301635742,,
Olanzapine,10.0,22.049999237060547,7.349999904632568,29.399999618530273,9.428571701049805,1.0,20.0,2.0,2.0,1.0,2.0,,,2.2099804878234863,,
Lamotrigine,100.0,1.7563965320587158,0.5854654908180237,2.3418619632720947,2.293750047683716,0.7124999761581421,4.75,20.0,20.0,1.0,20.0,,,3.2956702709198,,
Valproic Acid,500.0,0.3465000092983246,0.11550000309944153,0.4620000123977661,0.23517858982086182,0.05249999836087227,1.0,100.0,100.0,1.0,100.0,,,7.665505409240723,,
Methylphenidate,20.0,47.81700134277344,15.939000129699707,63.75600051879883,5.381607532501221,1.0,11.350000381469727,4.0,4.0,1.0,4.0,,,2.446683406829834,,
Atomoxetine,40.0,9.49543285369873,3.165144205093384,12.660576820373535,2.2235710620880127,0.6899999976158142,4.599999904632568,8.0,8.0,1.0,8.0,,,2.6182479858398438,,
Morphine,30.0,58.21200180053711,19.40399932861328,77.61599731445312,6.551250457763672,1.0,13.850000381469727,6.0,6.0,1.0,6.0,,,2.565758228302002,,
Oxycodone,20.0,41.58000183105469,13.859999656677246,55.44000244140625,6.551250457763672,1.0,13.850000381469727,4.0,4.0,1.0,4.0,,,2.4177465438842773,,
Tramadol,100.0,28.875,9.625,38.5,8.188751220703125,1.0,17.350000381469727,20.0,20.0,1.0,20.0,,,3.1263070106506348,,
Rivaroxaban,20.0,4.547812461853027,1.5159374475479126,6.06374979019165,1.6387498378753662,0.5024999976158142,3.3499999046325684,4.0,4.0,1.0,4.0,,,2.4014129638671875,,
Apixaban,5.0,1.21274995803833,0.40424999594688416,1.6169999837875366,0.65625,0.1875,1.25,1.0,1.0,1.0,1.1925597190856934,,,2.206571102142334,,
Diltiazem,60.0,37.743751525878906,12.581250190734863,50.32500076293945,7.136072635650635,1.0,15.100000381469727,12.0,12.0,1.0,12.0,,,2.7970690727233887,,
