compound_id,dose,cl_hepatic,cl_renal,pred_cmax,obs_cmax,residual_cmax,residual_cmax_pct,residual_cmax_log,pred_auc,obs_auc,residual_auc,residual_auc_pct,residual_auc_log
Theophylline,300.0,2.2739062309265137,0.7579687237739563,,,,,,,,,,
Phenytoin,300.0,1.0631250143051147,0.3543750047683716,,,,,,,,,,
Enalapril,10.0,10.395000457763672,3.4649999141693115,,,,,,,,,,
Clopidogrel,75.0,25.987499237060547,8.662500381469727,,,,,,,,,,
Simvastatin,20.0,90.95625305175781,30.318750381469727,,,,,,,,,,
Amoxicillin,500.0,10.395000457763672,3.4649999141693115,,,,,,,,,,
Omeprazole,20.0,12.993749618530273,4.331250190734863,,,,,,,,,,
Fluoxetine,20.0,10.828125,3.609375,,,,,,,,,,
Sertraline,50.0,27.98653793334961,9.328845977783203,,,,,,,,,,
Paroxetine,20.0,27.225000381469727,9.074999809265137,,,,,,,,,,
Citalopram,20.0,14.850000381469727,4.949999809265137,,,,,,,,,,
Escitalopram,10.0,16.170000076293945,5.389999866485596,,,,,,,,,,
Venlafaxine,75.0,50.93550109863281,16.978500366210938,,,,,,,,,,
Duloxetine,60.0,71.03250122070312,23.677499771118164,,,,,,,,,,
Desvenlafaxine,50.0,19.844999313354492,6.614999771118164,,,,,,,,,,
Amitriptyline,50.0,29.106000900268555,9.70199966430664,,,,,,,,,,
Nortriptyline,25.0,24.131250381469727,8.043749809265137,,,,,,,,,,
Mirtazapine,30.0,24.904687881469727,8.301562309265137,,,,,,,,,,
Alprazolam,1.0,6.06374979019165,2.021250009536743,,,,,,,,,,
Lorazepam,2.0,3.6382501125335693,1.21274995803833,,,,,,,,,,
Zolpidem,10.0,13.993268966674805,4.664422988891602,,,,,,,,,,
Risperidone,2.0,18.19124984741211,6.06374979019165,,,,,,,,,,
Olanzapine,10.0,22.049999237060547,7.349999904632568,,,,,,,,,,
Lamotrigine,100.0,1.7563965320587158,0.5854654908180237,,,,,,,,,,
Valproic Acid,500.0,0.3465000092983246,0.11550000309944153,,,,,,,,,,
Methylphenidate,20.0,47.81700134277344,15.939000129699707,,,,,,,,,,
Atomoxetine,40.0,9.49543285369873,3.165144205093384,,,,,,,,,,
Morphine,30.0,58.21200180053711,19.40399932861328,,,,,,,,,,
Oxycodone,20.0,41.58000183105469,13.859999656677246,,,,,,,,,,
Tramadol,100.0,28.875,9.625,,,,,,,,,,
Rivaroxaban,20.0,4.547812461853027,1.5159374475479126,,,,,,,,,,
Apixaban,5.0,1.21274995803833,0.40424999594688416,,,,,,,,,,
Diltiazem,60.0,37.743751525878906,12.581250190734863,,,,,,,,,,
Amlodipine,5.0,20.790000915527344,6.929999828338623,,,,,,,,,,
Gentamicin,240.0,3.783780097961426,1.2612600326538086,,,,,,,,,,
Paclitaxel,175.0,8.739500045776367,2.9131667613983154,,,,,,,,,,
Doxorubicin,60.0,35.51625061035156,11.838749885559082,,,,,,,,,,
Imatinib,400.0,12.560625076293945,4.186874866485596,,,,,,,,,,
Tacrolimus,5.0,28.47519302368164,9.491730690002441,,,,,,,,,,
Cyclosporine,300.0,24.935625076293945,8.311875343322754,,,,,,,,,,
Cn1c(=O)c2c(ncn2C)n(C)c1=O,100.0,0.0668250024318695,0.02227500081062317,,,,,,,,,,
CC(=O)Nc1ccc(O)cc1,100.0,0.2079000025987625,0.06930000334978104,,,,,,,,,,
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,100.0,0.02194499969482422,0.007315000053495169,,,,,,,,,,
Cc1cc(=O)n(-c2ccccc2)n1C,100.0,0.0333506241440773,0.01111687533557415,,,,,,,,,,
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,100.0,0.03966513276100159,0.013221710920333862,,,,,,,,,,
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,100.0,0.05659500136971474,0.01886500045657158,,,,,,,,,,
Cc1ncc([N+](=O)[O-])n1CCO,100.0,0.02928169071674347,0.009760563261806965,,,,,,,,,,
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,100.0,0.015655120834708214,0.005218373611569405,,,,,,,,,,
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,100.0,0.012374999932944775,0.004124999977648258,,,,,,,,,,
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,100.0,0.03465000167489052,0.011549999937415123,,,,,,,,,,
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,100.0,0.037023287266492844,0.012341096065938473,,,,,,,,,,
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,100.0,0.7796249985694885,0.25987499952316284,,,,,,,,,,
CCCc1cc(=O)[nH]c(=S)[nH]1,100.0,0.13593462109565735,0.04531153663992882,,,,,,,,,,
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,100.0,0.03974558785557747,0.01324852928519249,,,,,,,,,,
CCOc1ccc(NC(C)=O)cc1,100.0,0.7909238934516907,0.2636412978172302,,,,,,,,,,
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,100.0,0.08121094107627869,0.027070311829447746,,,,,,,,,,
Nc1cc(-c2ccncc2)c[nH]c1=O,100.0,0.33783748745918274,0.11261250078678131,,,,,,,,,,
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,100.0,0.2887499928474426,0.09624999761581421,,,,,,,,,,
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,100.0,0.5330769419670105,0.17769230902194977,,,,,,,,,,
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,100.0,0.03950100019574165,0.013167000375688076,,,,,,,,,,
NNC(=O)c1ccncc1,100.0,0.4261949956417084,0.14206500351428986,,,,,,,,,,
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,100.0,0.04157999902963638,0.013860000297427177,,,,,,,,,,
