canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cn3c(C(C)(C)C)nc4ccccc43)cc2)C1,,,113.33,ChEMBL,,CHEMBL252481,1
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cn3c(C(C)C)nc4ccccc43)cc2)C1,,,155.0,ChEMBL,,CHEMBL252480,1
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,,1.7,55.0,ChEMBL,,CHEMBL271235,1
C#CCNC(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)N(C)c2ccc3scnc3c2)c1,,,53.9,ChEMBL,,CHEMBL5201787,1
C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1,,,41.0,ChEMBL,,CHEMBL4559751,1
C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc([18F])cc2)cc1,,,8.35,ChEMBL,,CHEMBL5170099,1
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(Cl)cc4)cnc3c12,,,30.0,ChEMBL,,CHEMBL1783874,1
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,,,22.0,ChEMBL,,CHEMBL1783876,1
C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCC[C@H](NC(=O)[C@H](C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,0.15500000000000003,,15.75,ChEMBL,,CHEMBL3236383,1
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.03,,,ChEMBL,,CHEMBL3314532,1
C#CCOc1ccc(-c2nc3cc(NC(=O)[C@H](N)Cc4ccccc4)ccc3o2)cc1,0.004,,,ChEMBL,,CHEMBL5271246,1
C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1,,,0.1,ChEMBL,,CHEMBL4800671,1
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,0.013,,,ChEMBL,,CHEMBL4577527,1
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,0.019999999999999997,,21.67,ChEMBL,,CHEMBL4560579,1
C#CCOc1ncc(F)c(OCC#C)n1,,,52.1,ChEMBL,,CHEMBL5175881,1
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,0.4427,,38.02,KEC,train,,3
